id,date,source,language,country,topic_category,topic_subcategory,headline,short_text,sentiment,engagement_score,trend_score
trend_00001,2026-02-05,google_trends,hi,PK,global_events,climate,Global attention shifts towards climate developments,Users from PK are actively discussing climate within the broader category of global events across multiple platforms.,negative,8214,0.624
trend_00002,2026-02-16,social_media_stream,ur,PK,global_events,climate,Global attention shifts towards climate developments,Users from PK are actively discussing climate within the broader category of global events across multiple platforms.,positive,8107,0.218
trend_00003,2026-02-07,news_api,hi,IN,ai_and_tech,gen_ai,Gen Ai trend grows among developers in 2026,Users from IN are actively discussing gen ai within the broader category of ai and tech across multiple platforms.,neutral,8850,0.781
trend_00004,2026-02-21,news_api,en,US,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from US are actively discussing kdrama within the broader category of entertainment across multiple platforms.,negative,5294,0.42
trend_00005,2026-02-26,social_media_stream,en,GB,economy,inflation,Inflation remains a key concern for young professionals,Users from GB are actively discussing inflation within the broader category of economy across multiple platforms.,negative,461,0.624
trend_00006,2026-02-26,social_media_stream,en,GB,global_events,climate,Global attention shifts towards climate developments,Users from GB are actively discussing climate within the broader category of global events across multiple platforms.,negative,1899,0.235
trend_00007,2026-02-07,news_api,en,PK,global_events,climate,Global attention shifts towards climate developments,Users from PK are actively discussing climate within the broader category of global events across multiple platforms.,negative,8452,0.172
trend_00008,2026-02-06,social_media_stream,ur,GB,global_events,protests,Global attention shifts towards protests developments,Users from GB are actively discussing protests within the broader category of global events across multiple platforms.,positive,2497,0.891
trend_00009,2026-02-28,google_trends,hi,PK,entertainment,bollywood,Fans react to latest bollywood news on social media,Users from PK are actively discussing bollywood within the broader category of entertainment across multiple platforms.,negative,3383,0.255
trend_00010,2026-02-03,social_media_stream,en,PK,entertainment,bollywood,Fans react to latest bollywood news on social media,Users from PK are actively discussing bollywood within the broader category of entertainment across multiple platforms.,negative,6422,0.239
trend_00011,2026-02-23,google_trends,hi,PK,sports,olympics,Record engagement for recent olympics matches,Users from PK are actively discussing olympics within the broader category of sports across multiple platforms.,negative,5721,0.121
trend_00012,2026-02-02,news_api,en,PK,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from PK are actively discussing kdrama within the broader category of entertainment across multiple platforms.,negative,4161,0.116
trend_00013,2026-02-04,social_media_stream,hi,US,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from US are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,negative,3771,0.952
trend_00014,2026-02-17,social_media_stream,hi,US,sports,esports,Record engagement for recent esports matches,Users from US are actively discussing esports within the broader category of sports across multiple platforms.,neutral,4864,0.162
trend_00015,2026-02-11,news_api,hi,GB,economy,jobs,Jobs remains a key concern for young professionals,Users from GB are actively discussing jobs within the broader category of economy across multiple platforms.,negative,4155,0.774
trend_00016,2026-02-27,google_trends,hi,GB,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from GB are actively discussing kdrama within the broader category of entertainment across multiple platforms.,neutral,589,0.674
trend_00017,2026-02-05,google_trends,hi,US,ai_and_tech,gen_ai,Gen Ai trend grows among developers in 2026,Users from US are actively discussing gen ai within the broader category of ai and tech across multiple platforms.,negative,2873,0.937
trend_00018,2026-02-11,social_media_stream,ur,US,ai_and_tech,gen_ai,Gen Ai trend grows among developers in 2026,Users from US are actively discussing gen ai within the broader category of ai and tech across multiple platforms.,positive,6312,0.451
trend_00019,2026-02-13,google_trends,en,GB,entertainment,bollywood,Fans react to latest bollywood news on social media,Users from GB are actively discussing bollywood within the broader category of entertainment across multiple platforms.,negative,6701,0.727
trend_00020,2026-02-12,google_trends,hi,GB,economy,jobs,Jobs remains a key concern for young professionals,Users from GB are actively discussing jobs within the broader category of economy across multiple platforms.,positive,3494,0.343
trend_00021,2026-02-11,google_trends,ur,US,global_events,conflicts,Global attention shifts towards conflicts developments,Users from US are actively discussing conflicts within the broader category of global events across multiple platforms.,neutral,9624,0.724
trend_00022,2026-02-18,social_media_stream,en,IN,sports,esports,Record engagement for recent esports matches,Users from IN are actively discussing esports within the broader category of sports across multiple platforms.,neutral,9479,0.51
trend_00023,2026-02-11,news_api,en,US,sports,football,Record engagement for recent football matches,Users from US are actively discussing football within the broader category of sports across multiple platforms.,neutral,9530,0.777
trend_00024,2026-02-16,social_media_stream,hi,US,sports,football,Record engagement for recent football matches,Users from US are actively discussing football within the broader category of sports across multiple platforms.,neutral,1850,0.298
trend_00025,2026-02-25,social_media_stream,hi,IN,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from IN are actively discussing kdrama within the broader category of entertainment across multiple platforms.,negative,4199,0.487
trend_00026,2026-02-14,news_api,ur,US,entertainment,music_releases,Fans react to latest music releases news on social media,Users from US are actively discussing music releases within the broader category of entertainment across multiple platforms.,neutral,1574,0.444
trend_00027,2026-02-10,google_trends,ur,GB,global_events,climate,Global attention shifts towards climate developments,Users from GB are actively discussing climate within the broader category of global events across multiple platforms.,positive,9201,0.415
trend_00028,2026-02-19,news_api,en,US,sports,olympics,Record engagement for recent olympics matches,Users from US are actively discussing olympics within the broader category of sports across multiple platforms.,positive,8875,0.257
trend_00029,2026-02-13,news_api,ur,IN,ai_and_tech,startups,Startups trend grows among developers in 2026,Users from IN are actively discussing startups within the broader category of ai and tech across multiple platforms.,positive,1980,0.273
trend_00030,2026-02-16,social_media_stream,hi,IN,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from IN are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,neutral,6323,0.467
trend_00031,2026-02-16,social_media_stream,en,US,economy,crypto,Crypto remains a key concern for young professionals,Users from US are actively discussing crypto within the broader category of economy across multiple platforms.,neutral,6474,0.212
trend_00032,2026-02-09,google_trends,ur,PK,sports,olympics,Record engagement for recent olympics matches,Users from PK are actively discussing olympics within the broader category of sports across multiple platforms.,neutral,2153,0.74
trend_00033,2026-02-10,social_media_stream,en,PK,entertainment,bollywood,Fans react to latest bollywood news on social media,Users from PK are actively discussing bollywood within the broader category of entertainment across multiple platforms.,positive,4515,0.124
trend_00034,2026-02-11,social_media_stream,hi,GB,economy,jobs,Jobs remains a key concern for young professionals,Users from GB are actively discussing jobs within the broader category of economy across multiple platforms.,neutral,4022,0.743
trend_00035,2026-02-26,news_api,ur,GB,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from GB are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,positive,5184,0.552
trend_00036,2026-02-27,social_media_stream,ur,US,global_events,climate,Global attention shifts towards climate developments,Users from US are actively discussing climate within the broader category of global events across multiple platforms.,neutral,6065,0.812
trend_00037,2026-02-14,social_media_stream,hi,GB,global_events,protests,Global attention shifts towards protests developments,Users from GB are actively discussing protests within the broader category of global events across multiple platforms.,neutral,4448,0.528
trend_00038,2026-02-06,news_api,en,IN,entertainment,music_releases,Fans react to latest music releases news on social media,Users from IN are actively discussing music releases within the broader category of entertainment across multiple platforms.,negative,983,0.414
trend_00039,2026-02-09,news_api,en,US,global_events,protests,Global attention shifts towards protests developments,Users from US are actively discussing protests within the broader category of global events across multiple platforms.,positive,4048,0.318
trend_00040,2026-02-05,news_api,ur,IN,sports,football,Record engagement for recent football matches,Users from IN are actively discussing football within the broader category of sports across multiple platforms.,negative,1314,0.804
